Friday,28,November,2025,12:20:49:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'001,,,,Group B:,'002,,,,Group C:,'003
,,RPM,Temperature,Voltage,Bin. Bits,,RPM,Time,Battery Volts,Temperature,,RPM,Load,T.B. Angle,(no units)
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min,�C, V,,STAMP, /min, ms, V,�C,STAMP, /min, %,�,
,0.23,960,33.0,0.68,00001001,0.48,960,2.55,13.6,57.0,0.01,960,19.3,0.4,43.0
,0.93,928,33.0,0.68,00001001,1.17,928,2.55,13.5,57.0,0.71,960,20.5,0.0,43.0
,1.65,992,33.0,0.68,00001001,1.87,960,2.29,13.6,57.0,1.41,992,19.3,0.0,43.0
,2.33,928,33.0,0.68,00001001,2.56,960,2.55,13.6,57.0,2.09,960,19.3,0.0,43.0
,3.04,928,33.0,0.68,00001001,3.26,960,2.29,13.6,57.0,2.80,896,19.3,0.0,43.0
,3.72,960,33.0,0.68,00001001,3.96,960,2.55,13.6,57.0,3.48,928,20.9,0.0,43.0
,4.41,928,33.0,0.68,00001001,4.64,960,2.29,13.6,57.0,4.18,928,19.3,0.4,43.0
,5.12,960,33.0,0.68,00001001,5.34,928,2.55,13.6,57.0,4.88,960,19.3,0.0,43.0
,5.82,928,33.0,0.68,00001001,6.04,896,2.55,13.6,57.0,5.58,928,20.9,0.0,43.0
,6.50,960,33.0,0.68,00001001,6.74,960,2.29,13.5,57.0,6.26,960,20.5,0.0,43.0
,7.18,928,33.0,0.68,00001001,7.42,928,2.55,13.7,57.0,6.96,928,19.3,0.0,43.0
,7.89,992,33.0,0.68,00001001,8.13,960,2.29,13.7,58.0,7.66,928,19.3,0.4,43.0
,8.59,928,33.0,0.69,00001001,8.83,960,2.55,13.6,58.0,8.36,960,20.5,0.0,42.0
,9.30,896,33.0,0.69,00001001,9.54,896,2.29,13.5,58.0,9.07,928,19.3,0.0,42.0
,9.98,928,33.0,0.69,00001001,10.22,928,2.55,13.7,58.0,9.76,960,20.5,0.0,42.0
,10.70,896,33.0,0.69,00001001,10.93,896,2.55,13.7,58.0,10.45,928,20.5,0.0,42.0
,11.39,960,33.0,0.69,00001001,11.63,928,2.55,13.5,58.0,11.15,960,20.5,0.4,42.0
,12.09,928,33.0,0.68,00001001,12.33,896,2.29,13.6,58.0,11.87,960,19.3,0.0,42.0
,12.80,960,33.0,0.68,00001001,13.02,960,2.29,13.6,58.0,12.57,896,20.9,0.0,42.0
,13.49,960,33.0,0.68,00001001,13.72,928,2.55,13.4,58.0,13.25,928,19.3,0.0,42.0
,14.19,960,33.0,0.68,00001001,14.42,960,2.29,13.7,58.0,13.96,896,19.3,0.0,40.0
,14.90,928,33.0,0.69,00001001,15.12,928,2.29,13.6,58.0,14.66,928,18.9,0.0,40.0
,15.60,896,33.0,0.69,00001001,15.83,960,2.29,13.6,58.0,15.36,896,18.9,0.0,40.0
,16.30,928,33.0,0.69,00001001,16.53,928,2.29,13.6,58.0,16.06,960,18.9,0.0,40.0
,17.01,896,33.0,0.69,00001001,17.24,896,2.29,13.5,58.0,16.77,928,20.1,0.0,40.0
,17.69,928,33.0,0.69,00001001,17.92,928,2.29,13.6,58.0,17.46,960,20.1,0.0,40.0
,18.40,928,33.0,0.69,00001001,18.62,896,2.29,13.7,58.0,18.16,928,18.9,0.0,40.0
,19.08,928,33.0,0.69,00001001,19.31,960,2.29,13.5,58.0,18.84,960,20.5,0.0,40.0
,19.79,928,34.0,0.69,00001001,20.02,896,2.29,13.7,59.0,19.55,928,18.9,0.0,40.0
,20.49,960,34.0,0.69,00001001,20.73,928,2.29,13.6,59.0,20.25,960,18.9,0.0,40.0
,21.18,928,34.0,0.69,00001001,21.42,896,2.29,13.6,59.0,20.96,928,20.5,0.0,40.0
,21.89,960,34.0,0.69,00001001,22.13,960,2.29,13.5,59.0,21.66,896,20.5,0.0,40.0
,22.58,928,34.0,0.69,00001001,22.82,896,2.29,13.6,59.0,22.36,928,20.5,0.0,40.0
,23.28,960,33.0,0.69,00001001,23.52,960,2.29,13.5,59.0,23.05,896,20.5,0.0,40.0
,23.99,928,34.0,0.69,00001001,24.23,928,2.29,13.6,59.0,23.75,928,18.9,0.4,40.0
,24.68,896,34.0,0.69,00001001,24.92,960,2.29,13.5,59.0,24.46,928,18.9,0.0,40.0
,25.37,928,34.0,0.69,00001001,25.59,896,2.29,13.5,59.0,25.14,928,18.9,0.0,40.0
,26.06,896,34.0,0.69,00001001,26.30,960,2.29,13.6,59.0,25.83,896,20.5,0.4,40.0
,26.78,928,34.0,0.69,00001001,26.99,928,2.29,13.7,59.0,26.54,960,18.9,0.0,40.0
,27.45,960,34.0,0.69,00001001,27.69,960,2.29,13.5,59.0,27.22,896,20.5,0.0,40.0
,28.16,928,34.0,0.69,00001001,28.40,928,2.29,13.6,59.0,27.93,960,18.9,0.0,40.0
,28.86,896,34.0,0.69,00001001,29.08,960,2.29,13.6,59.0,28.63,928,18.9,0.0,40.0
,29.55,928,34.0,0.69,00001001,29.79,928,2.29,13.5,59.0,29.31,960,20.1,0.0,40.0
,30.25,896,34.0,0.69,00001001,30.49,896,2.29,13.7,59.0,30.02,928,20.5,0.0,40.0
,30.96,960,34.0,0.69,00001001,31.18,928,2.29,13.7,60.0,30.73,960,18.9,0.4,40.0
,31.64,896,34.0,0.69,00001001,31.86,960,2.29,13.6,60.0,31.40,928,20.1,0.0,39.0
,32.34,928,34.0,0.69,00001001,32.56,928,2.29,13.6,60.0,32.10,960,18.9,0.0,39.0
,33.02,896,34.0,0.69,00001001,33.25,960,2.29,13.6,60.0,32.78,896,18.9,0.0,39.0
,33.71,928,34.0,0.69,00001001,33.94,928,2.29,13.5,60.0,33.48,928,18.9,0.0,39.0
,34.41,960,34.0,0.69,00001001,34.64,960,2.29,13.5,60.0,34.18,896,18.9,0.4,39.0
,35.11,928,34.0,0.69,00001001,35.34,928,2.29,13.5,60.0,34.88,928,18.9,0.4,39.0
,35.81,896,34.0,0.69,00001001,36.05,960,2.29,13.6,60.0,35.58,896,18.9,0.0,39.0
,36.52,928,34.0,0.69,00001001,36.74,928,2.29,13.6,60.0,36.28,960,20.1,0.0,39.0
,37.20,896,34.0,0.69,00001001,37.44,960,2.29,13.5,60.0,36.97,896,18.9,0.0,39.0
,37.92,928,34.0,0.69,00001001,38.14,928,2.29,13.5,60.0,37.68,960,19.3,0.4,39.0
,38.61,896,34.0,0.69,00001001,38.85,960,2.29,13.7,60.0,38.37,896,18.9,0.0,39.0
,39.30,928,34.0,0.69,00001001,39.53,928,2.29,13.5,60.0,39.07,928,18.9,0.0,39.0
,40.01,896,34.0,0.69,00001001,40.23,960,2.29,13.5,60.0,39.77,896,18.9,0.4,39.0
,40.70,928,34.0,0.69,00001001,40.94,928,2.29,13.6,60.0,40.47,960,18.9,0.0,39.0
,41.40,896,34.0,0.69,00001001,41.62,960,2.29,13.4,60.0,41.18,928,20.5,0.4,39.0
,42.10,928,34.0,0.69,00001001,42.34,928,2.29,13.6,60.0,41.86,928,18.9,0.0,39.0
,42.80,896,34.0,0.70,00001001,43.04,960,2.29,13.6,60.0,42.56,896,18.9,0.4,39.0
,43.49,928,34.0,0.69,00001001,43.72,928,2.29,13.5,61.0,43.28,960,20.1,0.4,39.0
