Friday,28,November,2025,17:29:59:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'002,,,,Group B:,'003,,,,Group C:,'004
,,RPM,Time,Battery Volts,Temperature,,RPM,Load,T.B. Angle,(no units),,RPM,(no units),Ign. Timing,Bin. Bits
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, ms, V,�C,STAMP, /min, %,�,,STAMP, /min,, �BTDC,
,0.22,960,2.55,13.5,29.0,0.44,928,18.9,0.0,42.0,0.01,960,255.0,-12.0,01000000
,0.92,928,2.55,13.6,29.0,1.14,992,20.5,0.0,42.0,0.68,928,255.0,-18.5,01000000
,1.60,960,2.55,13.6,29.0,1.84,960,19.3,0.0,42.0,1.37,960,255.0,-12.0,01000000
,2.29,928,2.55,13.6,29.0,2.52,992,19.3,0.0,42.0,2.06,928,255.0,-18.0,01000000
,3.00,992,2.55,13.6,29.0,3.22,960,20.5,0.0,42.0,2.76,992,255.0,-10.5,01000000
,3.70,960,2.55,13.5,29.0,3.93,960,20.5,0.0,42.0,3.46,960,255.0,-11.5,01000000
,4.40,928,2.55,13.6,29.0,4.63,992,19.3,0.0,42.0,4.16,928,255.0,-17.5,01000000
,5.09,960,2.55,13.6,29.0,5.32,960,18.9,0.0,42.0,4.87,992,255.0,-18.5,01000000
,5.78,928,2.55,13.6,29.0,6.01,928,20.5,0.0,42.0,5.54,960,255.0,-16.0,01000000
,6.47,992,2.55,13.6,29.0,6.71,992,20.5,0.0,42.0,6.24,992,255.0,-18.5,01000000
,7.18,960,2.55,13.5,29.0,7.41,960,19.3,0.0,42.0,6.95,960,255.0,-10.5,01000000
,7.87,928,2.55,13.7,29.0,8.10,928,19.3,0.0,42.0,7.63,928,255.0,-18.5,01000000
,8.56,960,2.55,13.7,29.0,8.79,960,20.5,0.0,42.0,8.34,992,255.0,-18.5,01000000
,9.26,960,2.55,13.5,29.0,9.49,928,19.3,0.0,42.0,9.03,960,255.0,-12.0,01000000
,9.95,992,2.55,13.6,29.0,10.19,960,20.5,0.0,42.0,9.71,960,255.0,-18.5,01000000
,10.63,960,2.55,13.6,29.0,10.87,960,20.5,0.0,42.0,10.41,960,255.0,-13.0,01000000
,11.33,928,2.55,13.7,29.0,11.57,992,19.3,0.0,42.0,11.11,928,255.0,-18.5,01000000
,12.04,992,2.55,13.6,29.0,12.28,960,19.3,0.0,42.0,11.80,992,255.0,-10.0,01000000
,12.75,960,2.55,13.6,29.0,12.98,928,20.5,0.0,40.0,12.50,960,255.0,-12.0,01000000
,13.42,992,2.55,13.6,29.0,13.66,960,20.1,0.0,40.0,13.20,928,255.0,-18.5,01000000
,14.14,960,2.55,13.5,29.0,14.36,960,18.9,0.0,40.0,13.90,992,255.0,-10.0,01000000
,14.80,928,2.55,13.7,29.0,15.04,992,18.9,0.0,40.0,14.58,928,255.0,-16.5,01000000
,15.50,960,2.55,13.7,29.0,15.72,960,18.9,0.0,40.0,15.28,960,255.0,-12.0,01000000
,16.20,960,2.55,13.7,29.0,16.42,928,20.1,0.0,40.0,15.96,960,255.0,-17.5,01000000
,16.88,992,2.55,13.4,29.0,17.12,960,18.9,0.0,39.0,16.65,992,255.0,-10.0,01000000
,17.58,928,2.55,13.6,29.0,17.82,928,18.9,0.4,39.0,17.36,928,255.0,-13.0,01000000
,18.30,896,2.55,13.6,29.0,18.52,960,20.5,0.0,39.0,18.06,896,255.0,-18.5,01000000
,18.98,928,2.29,13.6,29.0,19.22,928,20.5,0.0,39.0,18.74,928,255.0,-13.5,01000000
,19.68,928,2.55,13.7,29.0,19.92,960,18.9,0.0,39.0,19.44,928,255.0,-17.5,01000000
,20.38,960,2.29,13.6,29.0,20.62,960,20.1,0.0,39.0,20.15,960,255.0,-11.0,01000000
,21.09,960,2.55,13.5,29.0,21.31,896,18.9,0.0,39.0,20.86,960,255.0,-11.0,01000000
,21.78,960,2.29,13.7,29.0,22.02,960,20.1,0.0,39.0,21.54,960,255.0,-18.5,01000000
,22.46,928,2.55,13.6,29.0,22.69,928,18.9,0.0,39.0,22.24,928,255.0,-13.5,01000000
,23.16,960,2.29,13.6,29.0,23.38,960,18.9,0.0,39.0,22.94,928,255.0,-18.5,01000000
,23.86,928,2.55,13.6,29.0,24.08,960,20.1,0.0,39.0,23.62,960,255.0,-11.0,01000000
,24.54,928,2.55,13.7,29.0,24.78,960,18.9,0.0,39.0,24.30,928,255.0,-18.5,01000000
,25.23,960,2.55,13.6,29.0,25.46,960,20.1,0.0,39.0,25.00,960,255.0,-10.5,01000000
,25.93,928,2.55,13.6,29.0,26.16,960,18.9,0.0,39.0,25.70,928,255.0,-18.0,01000000
,26.63,960,2.55,13.6,29.0,26.88,960,18.9,0.0,39.0,26.40,960,255.0,-10.0,01000000
,27.32,928,2.29,13.6,29.0,27.56,928,18.5,0.0,39.0,27.09,960,255.0,-11.0,01000000
,28.02,960,2.55,13.7,29.0,28.26,960,18.9,0.0,39.0,27.79,896,255.0,-18.5,01000000
,28.73,928,2.29,13.7,29.0,28.97,960,18.9,0.0,39.0,28.49,960,255.0,-10.0,01000000
,29.43,896,2.29,13.7,29.0,29.67,928,20.1,0.0,39.0,29.19,928,255.0,-17.0,01000000
,30.12,960,2.29,13.5,29.0,30.35,960,18.9,0.0,39.0,29.90,960,255.0,-18.5,01000000
,30.83,960,2.55,13.6,29.0,31.05,896,20.1,0.0,39.0,30.59,960,255.0,-12.0,01000000
,31.51,960,2.29,13.5,29.0,31.75,992,18.5,0.0,39.0,31.27,992,255.0,-18.5,01000000
,32.19,960,2.55,13.6,29.0,32.43,960,18.5,0.0,37.0,31.97,960,255.0,-12.0,01000000
,32.91,928,2.29,13.6,29.0,33.13,960,19.7,0.0,37.0,32.67,928,255.0,-18.0,01000000
,33.59,928,2.29,13.6,29.0,33.83,928,18.5,0.0,37.0,33.35,928,255.0,-11.0,01000000
,34.29,896,2.29,13.6,29.0,34.52,960,18.5,0.0,37.0,34.06,928,255.0,-16.5,01000000
,35.00,960,2.29,13.7,29.0,35.22,960,18.5,0.0,37.0,34.76,960,255.0,-9.5,01000000
,35.68,896,2.29,13.6,29.0,35.92,928,20.1,0.0,37.0,35.44,960,255.0,-16.0,01000000
,36.38,960,2.29,13.5,29.0,36.62,960,18.5,0.0,37.0,36.15,960,255.0,-18.5,01000000
,37.07,896,2.29,13.6,29.0,37.30,928,20.1,0.0,37.0,36.85,960,255.0,-10.5,01000000
,37.77,960,2.29,13.7,29.0,37.99,928,20.1,0.0,36.0,37.55,928,255.0,-18.5,01000000
,38.46,928,2.29,13.5,29.0,38.70,896,18.5,0.0,36.0,38.23,960,255.0,-10.0,01000000
,39.14,960,2.29,13.6,29.0,39.39,960,18.5,0.0,36.0,38.92,896,255.0,-18.5,01000000
,39.86,928,2.29,13.7,29.0,40.08,896,18.5,0.0,36.0,39.62,928,255.0,-11.5,01000000
,40.54,960,2.29,13.7,29.0,40.77,960,18.5,0.0,36.0,40.31,896,255.0,-18.5,01000000
,41.24,928,2.29,13.7,29.0,41.46,896,18.5,0.0,36.0,41.01,928,255.0,-10.5,01000000
,41.93,896,2.29,13.7,29.0,42.16,960,19.7,0.0,36.0,41.70,928,255.0,-18.5,01000000
,42.62,928,2.29,13.7,29.0,42.85,928,19.7,0.0,36.0,42.38,928,255.0,-11.5,01000000
,43.32,896,2.29,13.6,29.0,43.56,960,18.5,0.0,36.0,43.09,896,255.0,-16.5,01000000
,44.03,928,2.29,13.6,29.0,44.26,960,18.5,0.0,36.0,43.79,960,255.0,-10.0,01000000
,44.73,960,2.29,13.6,29.0,44.97,896,18.5,0.0,36.0,44.49,960,255.0,-11.0,01000000
,45.41,960,2.29,13.5,29.0,45.65,928,19.7,0.0,36.0,45.19,960,255.0,-18.5,01000000
,46.12,960,2.29,13.6,29.0,46.34,896,18.5,0.0,36.0,45.89,928,255.0,-11.0,01000000
,46.81,960,2.29,13.6,29.0,47.04,960,19.7,0.0,36.0,46.57,992,255.0,-18.5,01000000
,47.49,960,2.29,13.6,29.0,47.73,960,19.7,0.0,36.0,47.27,960,255.0,-10.0,01000000
,48.19,896,2.29,13.6,29.0,48.43,960,19.7,0.0,36.0,47.97,928,255.0,-16.5,01000000
,48.91,928,2.29,13.6,29.0,49.13,960,18.5,0.0,36.0,48.67,960,255.0,-9.0,01000000
,49.60,928,2.29,13.7,29.0,49.85,896,18.5,0.0,36.0,49.37,928,255.0,-17.0,01000000
,50.31,960,2.29,13.6,29.0,50.54,960,18.5,0.0,36.0,50.07,960,255.0,-18.5,01000000
,51.01,960,2.29,13.6,29.0,51.24,960,19.7,0.0,36.0,50.78,928,255.0,-11.5,01000000
,51.71,928,2.29,13.7,29.0,51.96,896,18.5,0.0,36.0,51.48,928,255.0,-16.0,01000000
,52.40,960,2.29,13.7,29.0,52.64,960,18.1,0.0,33.0,52.17,960,255.0,-8.5,01000000
,53.09,896,2.29,13.7,29.0,53.32,960,19.3,0.4,33.0,52.87,928,255.0,-17.0,01000000
,53.78,960,2.29,13.7,29.0,54.01,928,17.7,0.0,31.0,53.54,960,255.0,-8.5,01000000
,54.47,896,2.29,13.6,29.0,54.71,960,17.7,0.0,30.0,54.25,928,255.0,-18.0,01000000
,55.18,928,2.29,13.6,29.0,55.42,928,17.7,0.0,30.0,54.94,960,255.0,-10.5,01000000
,55.89,928,2.29,13.5,29.0,56.11,928,18.1,0.0,30.0,55.65,928,255.0,-17.0,01000000
,56.59,928,2.29,13.7,29.0,56.83,928,19.3,0.0,30.0,56.35,960,255.0,-12.0,01000000
,57.29,896,2.29,13.5,29.0,57.53,896,17.7,0.0,30.0,57.05,928,255.0,-18.5,01000000
,58.00,928,2.29,13.7,29.0,58.23,928,17.7,0.0,28.0,57.77,960,255.0,-18.5,01000000
,58.70,896,2.29,13.6,29.0,58.93,960,18.1,0.0,31.0,58.46,928,255.0,-18.5,01000000
,59.41,960,2.29,13.6,29.0,59.64,928,19.3,0.0,31.0,59.17,960,255.0,-11.5,01000000
,60.10,896,2.29,13.6,29.0,60.34,896,19.3,0.0,31.0,59.86,928,255.0,-17.5,01000000
