Friday,28,November,2025,17:35:07:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'005,,,,Group B:,'006,,,,Group C:,'007
,,RPM,Duty Cycle,Duty Cycle,Bin. Bits,,(no units),(no units),(no units),Bin. Bits,,(no units),(no units),(no units),Bin. Bits
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, %, %,,STAMP,,,,,STAMP,,,,
,0.24,928,0.0,0.0,        ,0.48,1.0,0.0,0.0,        ,0.01,1.0,0.0,0.0,        
,0.94,896,0.0,0.0,        ,1.18,1.0,0.0,0.0,        ,0.70,1.0,0.0,0.0,        
,1.63,928,0.0,0.0,        ,1.86,1.0,0.0,0.0,        ,1.41,1.0,0.0,0.0,        
,2.33,896,0.0,0.0,        ,2.56,1.0,0.0,0.0,        ,2.10,1.0,0.0,0.0,        
,3.02,928,0.0,0.0,        ,3.26,1.0,0.0,0.0,        ,2.78,1.0,0.0,0.0,        
,3.70,960,0.0,0.0,        ,3.94,1.0,0.0,0.0,        ,3.48,1.0,0.0,0.0,        
,4.40,928,0.0,0.0,        ,4.62,1.0,0.0,0.0,        ,4.18,1.0,0.0,0.0,        
,5.10,896,0.0,0.0,        ,5.32,1.0,0.0,0.0,        ,4.86,1.0,0.0,0.0,        
,5.78,928,0.0,0.0,        ,6.02,1.0,0.0,0.0,        ,5.55,1.0,0.0,0.0,        
,6.47,960,0.0,0.0,        ,6.71,1.0,0.0,0.0,        ,6.24,1.0,0.0,0.0,        
,7.16,928,0.0,0.0,        ,7.39,1.0,0.0,0.0,        ,6.94,1.0,0.0,0.0,        
,7.87,960,0.0,0.0,        ,8.10,1.0,0.0,0.0,        ,7.63,1.0,0.0,0.0,        
,8.54,896,0.0,0.0,        ,8.78,1.0,0.0,0.0,        ,8.32,1.0,0.0,0.0,        
,9.24,928,0.0,0.0,        ,9.47,1.0,0.0,0.0,        ,9.02,1.0,0.0,0.0,        
,9.95,896,0.0,0.0,        ,10.17,1.0,0.0,0.0,        ,9.70,1.0,0.0,0.0,        
,10.62,928,0.0,0.0,        ,10.87,1.0,0.0,0.0,        ,10.39,1.0,0.0,0.0,        
,11.31,896,0.0,0.0,        ,11.55,1.0,0.0,0.0,        ,11.09,1.0,0.0,0.0,        
,12.01,928,0.0,0.0,        ,12.23,1.0,0.0,0.0,        ,11.78,1.0,0.0,0.0,        
,12.71,896,0.0,0.0,        ,12.94,1.0,0.0,0.0,        ,12.47,1.0,0.0,0.0,        
,13.39,928,0.0,0.0,        ,13.63,1.0,0.0,0.0,        ,13.16,1.0,0.0,0.0,        
,14.09,960,0.0,0.0,        ,14.31,1.0,0.0,0.0,        ,13.86,1.0,0.0,0.0,        
,14.79,928,0.0,0.0,        ,15.02,1.0,0.0,0.0,        ,14.55,1.0,0.0,0.0,        
,15.47,960,0.0,0.0,        ,15.70,1.0,0.0,0.0,        ,15.24,1.0,0.0,0.0,        
,16.17,928,0.0,0.0,        ,16.40,1.0,0.0,0.0,        ,15.94,1.0,0.0,0.0,        
,16.88,896,0.0,0.0,        ,17.12,1.0,0.0,0.0,        ,16.64,1.0,0.0,0.0,        
,17.56,928,0.0,0.0,        ,17.80,1.0,0.0,0.0,        ,17.34,1.0,0.0,0.0,        
