Friday,28,November,2025,17:31:21:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'003,,,,Group B:,'004,,,,Group C:,'005
,,RPM,Load,T.B. Angle,(no units),,RPM,(no units),Ign. Timing,Bin. Bits,,RPM,Duty Cycle,Duty Cycle,Bin. Bits
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, %,�,,STAMP, /min,, �BTDC,,STAMP, /min, %, %,
,64.12,928,20.1,0.0,33.0,64.36,896,255.0,-18.5,01000000,63.89,928,0.0,66.4,        
,64.82,960,19.7,0.0,33.0,65.04,928,255.0,-11.0,01000000,64.59,896,0.0,55.5,        
,65.50,896,18.5,0.0,33.0,65.73,896,255.0,-18.5,01000000,65.26,928,0.0,64.6,        
,66.21,960,19.3,0.0,28.0,66.43,928,255.0,-12.5,01000000,65.98,960,0.0,55.5,        
,66.91,928,18.9,0.0,28.0,67.13,896,255.0,-18.5,01000000,66.67,928,0.0,62.8,        
,67.59,928,17.7,0.0,28.0,67.83,928,255.0,-12.5,01000000,67.36,960,0.0,55.5,        
,68.29,896,17.7,0.0,28.0,68.53,896,255.0,-18.5,01000000,68.06,928,0.0,62.8,        
,68.99,928,17.7,0.0,28.0,69.21,928,255.0,-11.0,01000000,68.77,960,0.0,55.5,        
,69.69,896,17.7,0.0,28.0,69.93,896,255.0,-18.5,01000000,69.45,928,0.0,64.6,        
,70.39,928,17.7,0.0,28.0,70.63,928,255.0,-12.5,01000000,70.15,960,0.0,55.5,        
,71.07,896,18.9,0.0,28.0,71.31,960,255.0,-18.5,01000000,70.85,928,0.0,62.8,        
,71.79,928,17.7,0.0,28.0,72.01,928,255.0,-11.5,01000000,71.55,960,0.0,55.5,        
,72.48,896,17.7,0.0,28.0,72.72,896,255.0,-18.5,01000000,72.25,928,0.0,64.0,        
,73.18,928,17.7,0.0,28.0,73.42,928,255.0,-13.0,01000000,72.95,960,0.0,55.5,        
,73.87,896,19.3,0.0,28.0,74.11,960,255.0,-18.5,01000000,73.65,928,0.0,62.2,        
,74.58,928,19.3,0.0,28.0,74.81,928,255.0,-11.5,01000000,74.34,960,0.0,55.5,        
,75.28,896,18.9,0.0,28.0,75.51,960,255.0,-18.5,01000000,75.04,928,0.0,64.0,        
,75.96,928,18.9,0.0,28.0,76.20,928,255.0,-12.5,01000000,75.73,928,0.0,55.5,        
,76.65,960,17.7,0.0,28.0,76.89,960,255.0,-10.0,01000000,76.43,896,0.0,62.8,        
,77.37,928,18.9,0.0,28.0,77.60,928,255.0,-11.0,01000000,77.12,928,0.0,65.8,        
,78.06,896,18.9,0.0,28.0,78.30,960,255.0,-18.5,01000000,77.82,928,0.0,64.6,        
,78.75,928,18.9,0.0,28.0,78.98,928,255.0,-17.0,01000000,78.53,960,0.0,55.5,        
,79.45,896,18.9,0.4,28.0,79.68,960,255.0,-11.5,01000000,79.22,928,0.0,57.3,        
,80.14,928,17.7,0.0,28.0,80.38,928,255.0,-13.0,01000000,79.90,928,0.0,64.0,        
,80.84,896,17.7,0.0,28.0,81.08,960,255.0,-10.5,01000000,80.60,896,0.0,62.2,        
,81.54,928,17.7,0.0,28.0,81.76,928,255.0,-18.0,01000000,81.31,960,0.0,65.2,        
,82.24,896,18.9,0.0,28.0,82.46,960,255.0,-11.0,01000000,82.00,896,0.0,56.1,        
,82.94,928,17.7,0.0,28.0,83.17,928,255.0,-10.5,01000000,82.70,928,0.0,64.6,        
,83.62,960,17.7,0.0,28.0,83.86,960,255.0,-11.5,01000000,83.39,896,0.0,65.2,        
,84.32,928,17.7,0.0,28.0,84.56,928,255.0,-17.5,01000000,84.10,928,0.0,64.0,        
,85.03,896,18.9,0.0,28.0,85.25,960,255.0,-11.0,01000000,84.80,896,0.0,56.7,        
,85.72,928,17.7,0.4,28.0,85.95,928,255.0,-17.5,01000000,85.48,928,0.0,64.6,        
,86.40,960,18.9,0.0,28.0,86.62,928,255.0,-13.0,01000000,86.18,896,0.0,56.7,        
,87.10,928,18.9,0.0,28.0,87.32,896,255.0,-18.5,01000000,86.86,928,0.0,62.2,        
,87.79,960,18.9,0.0,28.0,88.03,928,255.0,-9.5,01000000,87.56,960,0.0,55.5,        
,88.49,928,18.9,0.0,28.0,88.71,896,255.0,-18.5,01000000,88.27,928,0.0,66.4,        
,89.19,960,18.9,0.0,28.0,89.41,928,255.0,-13.0,01000000,88.95,960,0.0,55.5,        
,89.88,896,17.7,0.4,28.0,90.11,896,255.0,-18.5,01000000,89.64,928,0.0,62.2,        
,90.56,928,19.3,0.0,28.0,90.80,928,255.0,-12.0,01000000,90.33,960,0.0,55.5,        
,91.25,896,19.3,0.0,28.0,91.48,960,255.0,-10.5,01000000,91.04,928,0.0,63.4,        
,91.96,928,18.9,0.0,28.0,92.18,928,255.0,-17.5,01000000,91.72,928,0.0,65.2,        
,92.64,960,17.7,0.0,28.0,92.87,960,255.0,-10.5,01000000,92.40,896,0.0,56.7,        
,93.34,928,17.7,0.0,28.0,93.57,928,255.0,-17.5,01000000,93.11,928,0.0,65.2,        
,94.05,896,18.9,0.0,28.0,94.27,960,255.0,-9.0,01000000,93.81,896,0.0,56.7,        
,94.75,928,18.9,0.0,28.0,94.99,928,255.0,-12.0,01000000,94.51,960,0.0,67.0,        
,95.46,896,17.7,0.0,28.0,95.68,960,255.0,-18.5,01000000,95.22,928,0.0,63.4,        
,96.15,928,17.7,0.0,28.0,96.39,928,255.0,-12.0,01000000,95.92,960,0.0,55.5,        
,96.85,896,17.7,0.0,28.0,97.07,960,255.0,-18.5,01000000,96.62,928,0.0,63.4,        
,97.55,928,17.7,0.0,27.0,97.78,928,255.0,-11.0,01000000,97.31,960,0.0,55.5,        
,98.23,896,17.7,0.0,27.0,98.47,960,255.0,-18.5,01000000,98.01,928,0.0,64.6,        
,98.94,928,18.9,0.0,27.0,99.18,928,255.0,-12.5,01000000,98.70,960,0.0,55.5,        
,99.65,896,17.7,0.0,27.0,99.89,896,255.0,-18.5,01000000,99.42,928,0.0,62.8,        
,100.36,960,17.7,0.0,27.0,100.59,928,255.0,-12.0,01000000,100.13,960,0.0,55.5,        
,101.06,896,17.7,0.4,27.0,101.30,896,255.0,-18.5,01000000,100.82,928,0.0,63.4,        
,101.76,960,17.7,0.4,27.0,101.99,928,255.0,-11.5,01000000,101.54,896,0.0,55.5,        
,102.47,928,18.9,0.0,27.0,102.71,896,255.0,-17.5,01000000,102.23,928,0.0,64.0,        
,103.15,960,17.7,0.0,27.0,103.39,928,255.0,-10.0,01000000,102.93,960,0.0,56.7,        
