Friday,28,November,2025,17:33:26:00009-VCID:9DA46055AA8F3D19E2-7F06,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
855 412 107 AD-7F06,,MARELLI 1AVP MPSF  DG23,

,Group A:,'004,,,,Group B:,'005,,,,Group C:,'006
,,RPM,(no units),Ign. Timing,Bin. Bits,,RPM,Duty Cycle,Duty Cycle,Bin. Bits,,(no units),(no units),(no units),Bin. Bits
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min,, �BTDC,,STAMP, /min, %, %,,STAMP,,,,
,0.24,896,255.0,-18.5,01000000,0.47,960,0.0,55.5,        ,0.01,1.0,0.0,0.0,        
,0.94,928,255.0,-12.5,01000000,1.17,928,0.0,62.8,        ,0.71,1.0,0.0,0.0,        
,1.65,896,255.0,-18.5,01000000,1.87,960,0.0,55.5,        ,1.41,1.0,0.0,0.0,        
,2.33,928,255.0,-12.0,01000000,2.57,928,0.0,63.4,        ,2.10,1.0,0.0,0.0,        
,3.03,896,255.0,-18.5,01000000,3.27,960,0.0,55.5,        ,2.81,1.0,0.0,0.0,        
,3.74,928,255.0,-9.5,01000000,3.96,928,0.0,66.4,        ,3.50,1.0,0.0,0.0,        
,4.42,896,255.0,-18.5,01000000,4.66,960,0.0,55.5,        ,4.18,1.0,0.0,0.0,        
,5.13,928,255.0,-11.5,01000000,5.36,928,0.0,64.0,        ,4.90,1.0,0.0,0.0,        
,5.84,896,255.0,-16.5,01000000,6.06,960,0.0,57.9,        ,5.60,1.0,0.0,0.0,        
,6.53,928,255.0,-10.0,01000000,6.77,928,0.0,65.8,        ,6.30,1.0,0.0,0.0,        
,7.23,896,255.0,-18.0,01000000,7.47,896,0.0,56.1,        ,7.01,1.0,0.0,0.0,        
,7.94,960,255.0,-9.5,01000000,8.18,928,0.0,66.4,        ,7.70,1.0,0.0,0.0,        
,8.64,928,255.0,-16.5,01000000,8.88,896,0.0,57.9,        ,8.40,1.0,0.0,0.0,        
,9.34,960,255.0,-11.0,01000000,9.58,928,0.0,64.6,        ,9.12,1.0,0.0,0.0,        
,10.06,928,255.0,-11.5,01000000,10.28,896,0.0,64.0,        ,9.82,1.0,0.0,0.0,        
,10.75,960,255.0,-18.5,01000000,10.99,960,0.0,55.5,        ,10.52,1.0,0.0,0.0,        
,11.45,928,255.0,-12.0,01000000,11.69,928,0.0,63.4,        ,11.22,1.0,0.0,0.0,        
,12.15,896,255.0,-18.5,01000000,12.38,960,0.0,55.5,        ,11.93,1.0,0.0,0.0,        
,12.85,928,255.0,-12.5,01000000,13.08,928,0.0,62.8,        ,12.61,1.0,0.0,0.0,        
,13.55,896,255.0,-18.5,01000000,13.79,960,0.0,55.5,        ,13.31,1.0,0.0,0.0,        
,14.24,928,255.0,-10.0,01000000,14.47,928,0.0,65.8,        ,14.02,1.0,0.0,0.0,        
,14.92,960,255.0,-18.5,01000000,15.17,960,0.0,55.5,        ,14.69,1.0,0.0,0.0,        
,15.61,928,255.0,-17.5,01000000,15.85,896,0.0,56.7,        ,15.39,1.0,0.0,0.0,        
,16.31,960,255.0,-10.0,01000000,16.53,928,0.0,65.8,        ,16.09,1.0,0.0,0.0,        
,17.01,928,255.0,-18.5,01000000,17.25,896,0.0,55.5,        ,16.77,1.0,0.0,0.0,        
,17.71,960,255.0,-11.0,01000000,17.93,928,0.0,64.6,        ,17.47,1.0,0.0,0.0,        
,18.39,896,255.0,-17.0,01000000,18.63,896,0.0,57.3,        ,18.15,1.0,0.0,0.0,        
,19.08,928,255.0,-13.0,01000000,19.31,928,0.0,62.2,        ,18.86,1.0,0.0,0.0,        
,19.78,896,255.0,-18.5,01000000,20.00,960,0.0,55.5,        ,19.56,1.0,0.0,0.0,        
,20.48,928,255.0,-12.0,01000000,20.70,896,0.0,63.4,        ,20.24,1.0,0.0,0.0,        
,21.16,960,255.0,-11.0,01000000,21.40,960,0.0,64.6,        ,20.92,1.0,0.0,0.0,        
,21.86,928,255.0,-17.5,01000000,22.10,896,0.0,56.7,        ,21.64,1.0,0.0,0.0,        
,22.56,960,255.0,-11.0,01000000,22.80,960,0.0,64.6,        ,22.34,1.0,0.0,0.0,        
,23.28,928,255.0,-11.5,01000000,23.51,928,0.0,64.0,        ,23.03,1.0,0.0,0.0,        
,23.99,896,255.0,-18.5,01000000,24.23,960,0.0,55.5,        ,23.75,1.0,0.0,0.0,        
,24.69,928,255.0,-11.0,01000000,24.93,928,0.0,64.6,        ,24.45,1.0,0.0,0.0,        
,25.39,896,255.0,-18.5,01000000,25.63,960,0.0,55.5,        ,25.16,1.0,0.0,0.0,        
,26.10,928,255.0,-12.0,01000000,26.33,928,0.0,63.4,        ,25.86,1.0,0.0,0.0,        
,26.80,896,255.0,-18.0,01000000,27.04,896,0.0,56.1,        ,26.56,1.0,0.0,0.0,        
,27.48,928,255.0,-13.5,01000000,27.72,928,0.0,61.5,        ,27.26,1.0,0.0,0.0,        
,28.20,896,255.0,-18.0,01000000,28.42,960,0.0,56.1,        ,27.96,1.0,0.0,0.0,        
,28.88,928,255.0,-14.0,01000000,29.12,928,0.0,60.9,        ,28.64,1.0,0.0,0.0,        
,29.58,960,255.0,-18.5,01000000,29.81,960,0.0,55.5,        ,29.35,1.0,0.0,0.0,        
,30.29,928,255.0,-12.0,01000000,30.51,928,0.0,63.4,        ,30.05,1.0,0.0,0.0,        
,30.99,896,255.0,-18.5,01000000,31.22,960,0.0,55.5,        ,30.75,1.0,0.0,0.0,        
,31.67,928,255.0,-18.5,01000000,31.91,896,0.0,55.5,        ,31.45,1.0,0.0,0.0,        
,32.38,960,255.0,-18.5,01000000,32.61,928,0.0,55.5,        ,32.15,1.0,0.0,0.0,        
,33.06,928,255.0,-18.0,01000000,33.30,896,0.0,56.1,        ,32.83,1.0,0.0,0.0,        
,33.77,960,255.0,-11.5,01000000,33.99,928,0.0,64.0,        ,33.54,1.0,0.0,0.0,        
,34.46,896,255.0,-18.5,01000000,34.69,896,0.0,55.5,        ,34.22,1.0,0.0,0.0,        
,35.14,928,255.0,-12.0,01000000,35.38,928,0.0,63.4,        ,34.92,1.0,0.0,0.0,        
,35.85,896,255.0,-17.5,01000000,36.07,960,0.0,56.7,        ,35.62,1.0,0.0,0.0,        
,36.55,928,255.0,-10.0,01000000,36.79,928,0.0,65.8,        ,36.31,1.0,0.0,0.0,        
,37.24,896,255.0,-18.5,01000000,37.47,960,0.0,55.5,        ,37.01,1.0,0.0,0.0,        
